Dimensions,Obstacle Probability,Num Particles,Num Landmarks,Weighting Function,Device,Mean Time,Standard Deviation
3,0.1,8192,10,Gaussian PDF,cuda,0.0015397828571871947,0.00024258011024175051
3,0.1,16384,10,Gaussian PDF,cuda,0.0015256618581338693,0.00017618181239545055
3,0.1,32,10,Attention,cuda,0.0011058219181202522,0.0001604358377783064
3,0.1,64,10,Attention,cuda,0.0010917373629066847,0.00017342296048149342
3,0.1,128,10,Attention,cuda,0.0010878574226103207,0.00016445336722901646
3,0.1,256,10,Attention,cuda,0.0011009988109555587,0.00017874809532491206
3,0.1,512,10,Attention,cuda,0.0010712207994829923,0.00010903464392702948
3,0.1,1024,10,Attention,cuda,0.0010721412085456779,0.00010726280876177647
3,0.1,2048,10,Attention,cuda,0.0010905283313841427,0.00044072356355252796
3,0.1,4096,10,Attention,cuda,0.0010475241263130945,8.946790584487178e-05
3,0.1,8192,10,Attention,cuda,0.0010739015283369618,7.200516625507057e-05
3,0.1,16384,10,Attention,cuda,0.0010963594704237465,0.00011753177356854589
2,0.1,32,10,Gaussian PDF,cpu,0.0004998766531929147,2.3601399517573534e-05
2,0.1,64,10,Gaussian PDF,cpu,0.0005158294303787892,2.444564900248747e-05
2,0.1,128,10,Gaussian PDF,cpu,0.0005490109783022308,3.506694288957518e-05
2,0.1,256,10,Gaussian PDF,cpu,0.0006118684217076075,2.930874571743125e-05
2,0.1,512,10,Gaussian PDF,cpu,0.0007451069729738068,5.011931833395283e-05
2,0.1,1024,10,Gaussian PDF,cpu,0.0009992599299656214,7.369126873302636e-05
2,0.1,2048,10,Gaussian PDF,cpu,0.0014157210693012674,0.0004394033931425114
2,0.1,4096,10,Gaussian PDF,cpu,0.0018033764337991494,0.00036458009137383724
2,0.1,8192,10,Gaussian PDF,cpu,0.0026999616184791497,0.000735186361233874
2,0.1,16384,10,Gaussian PDF,cpu,0.004630104885149336,0.0015201138065642696
2,0.1,32,10,Attention,cpu,0.000373066413508436,2.3842328149109868e-05
2,0.1,64,10,Attention,cpu,0.0003864811283462289,2.1248466513317028e-05
2,0.1,128,10,Attention,cpu,0.0004086406987423745,2.198141800085672e-05
2,0.1,256,10,Attention,cpu,0.0004588871730373359,2.4785444390913544e-05
2,0.1,512,10,Attention,cpu,0.0005537078919093386,3.315797460918056e-05
2,0.1,1024,10,Attention,cpu,0.0007357081419592453,3.628634246262646e-05
2,0.1,2048,10,Attention,cpu,0.0009626179323036254,0.0004010181387478884
2,0.1,4096,10,Attention,cpu,0.0013483851846957861,0.0001465316114975966
2,0.1,8192,10,Attention,cpu,0.0019618221275326045,0.00020149029473410344
2,0.1,16384,10,Attention,cpu,0.0034756895610548602,0.0003411329567899689
3,0.1,32,10,Gaussian PDF,cpu,0.0005072035361604707,3.344674021133725e-05
3,0.1,64,10,Gaussian PDF,cpu,0.0005246427276154997,4.3661097025581973e-05
3,0.1,128,10,Gaussian PDF,cpu,0.000550032327944584,2.912297608475542e-05
3,0.1,256,10,Gaussian PDF,cpu,0.0006126657339591221,3.088587551840633e-05
3,0.1,512,10,Gaussian PDF,cpu,0.0007423412487991006,4.115719012865497e-05
3,0.1,1024,10,Gaussian PDF,cpu,0.0010476423472528449,9.543496712784459e-05
3,0.1,2048,10,Gaussian PDF,cpu,0.0013632961141120468,0.00015423773305506096
3,0.1,4096,10,Gaussian PDF,cpu,0.0016023106690504114,0.0005005884261672319
3,0.1,8192,10,Gaussian PDF,cpu,0.002423676403079342,0.000517088401496732
3,0.1,16384,10,Gaussian PDF,cpu,0.004206782956504134,0.001202470561957149
3,0.1,32,10,Attention,cpu,0.00037597513481552205,2.528835898003212e-05
3,0.1,64,10,Attention,cpu,0.0003877862137437637,1.92847558414399e-05
3,0.1,128,10,Attention,cpu,0.00041296615373002704,2.3400764916799896e-05
3,0.1,256,10,Attention,cpu,0.0004644045155596818,2.830497666390894e-05
3,0.1,512,10,Attention,cpu,0.000563835225003603,2.9974217395952817e-05
3,0.1,1024,10,Attention,cpu,0.0008166446452509132,7.871638711473976e-05
3,0.1,2048,10,Attention,cpu,0.0010000706296128042,0.00044937303267242123
3,0.1,4096,10,Attention,cpu,0.0013187104196752423,0.00014519479557849945
3,0.1,8192,10,Attention,cpu,0.001979442277662019,0.0001802481194377887
3,0.1,16384,10,Attention,cpu,0.0034732409090524287,0.0003137045879429523
