Dimensions,Obstacle Probability,Num Particles,Num Landmarks,Weighting Function,Device,Mean Time,Standard Deviation
2,0.1,64,10,Gaussian PDF,cpu,0.00025127356586506595,4.508175862096157e-06
2,0.1,128,10,Gaussian PDF,cpu,0.00026212389156762903,3.983379414487168e-06
2,0.1,256,10,Gaussian PDF,cpu,0.0002838950103634832,9.343498659985834e-06
2,0.1,512,10,Gaussian PDF,cpu,0.000331451067488213,0.0003989363719087969
2,0.1,1024,10,Gaussian PDF,cpu,0.0004035866921810623,9.283350115418688e-06
2,0.1,2048,10,Gaussian PDF,cpu,0.0005058690573261064,3.5604584800413864e-05
2,0.1,4096,10,Gaussian PDF,cpu,0.0006204583871396506,7.991015403308076e-05
2,0.1,8192,10,Gaussian PDF,cpu,0.0009048728925105255,0.00021799190544212973
2,0.1,16384,10,Gaussian PDF,cpu,0.001433914721189297,0.00045840311891591636
2,0.1,32,10,Attention,cpu,0.00018554877783576553,7.050497455997353e-06
2,0.1,64,10,Attention,cpu,0.00019022609385819714,8.779881955725969e-06
2,0.1,128,10,Attention,cpu,0.00019935419318148982,8.092265137268111e-06
2,0.1,256,10,Attention,cpu,0.00021392411549491194,7.91199632119619e-06
2,0.1,512,10,Attention,cpu,0.00024990354194397716,0.0004124285184845069
2,0.1,1024,10,Attention,cpu,0.00030928513522587386,7.178960847813418e-06
2,0.1,2048,10,Attention,cpu,0.0003537413020606979,9.573790311849854e-06
2,0.1,4096,10,Attention,cpu,0.0004508474620556776,8.680836384551373e-06
2,0.1,8192,10,Attention,cpu,0.0006174058914825378,1.066783918794636e-05
2,0.1,16384,10,Attention,cpu,0.0009959426458607396,1.9565000138562044e-05
3,0.1,32,10,Gaussian PDF,cpu,0.00025006937401732764,5.894504301365197e-06
3,0.1,64,10,Gaussian PDF,cpu,0.0002532363288772323,5.296252980450554e-06
3,0.1,128,10,Gaussian PDF,cpu,0.0002649969067283814,7.533582189909835e-06
3,0.1,256,10,Gaussian PDF,cpu,0.00028901107516930577,0.00041715705853907976
3,0.1,512,10,Gaussian PDF,cpu,0.00032689151275690394,8.357820491048216e-06
3,0.1,1024,10,Gaussian PDF,cpu,0.00041283392583482437,7.85459180985356e-06
3,0.1,2048,10,Gaussian PDF,cpu,0.0004900654107973038,1.1869866708478366e-05
3,0.1,4096,10,Gaussian PDF,cpu,0.000563369520307685,1.2966639884489658e-05
3,0.1,8192,10,Gaussian PDF,cpu,0.0007590717423962988,4.80482530314743e-05
3,0.1,16384,10,Gaussian PDF,cpu,0.001125877060327115,3.866212776391629e-05
3,0.1,32,10,Attention,cpu,0.0001881191997225843,8.675566786014555e-06
3,0.1,64,10,Attention,cpu,0.00019016847605429744,7.73804561651907e-06
3,0.1,128,10,Attention,cpu,0.00020045851190595633,7.708451014171153e-06
3,0.1,256,10,Attention,cpu,0.00021920405536681622,0.0004051853559372952
3,0.1,512,10,Attention,cpu,0.00024903932245905056,8.243514102587867e-06
3,0.1,1024,10,Attention,cpu,0.00031658283965102724,8.699928642027246e-06
3,0.1,2048,10,Attention,cpu,0.0003594566272101486,1.0325649494506812e-05
3,0.1,4096,10,Attention,cpu,0.0004303196012533245,6.879144628248546e-06
3,0.1,8192,10,Attention,cpu,0.0006166982150237824,8.872861318472624e-06
3,0.1,16384,10,Attention,cpu,0.00098931480334994,1.9611862122985644e-05
